Rank	Movie	Lifetime Gross	Year
131	Men in Black	25,06,90,539	1997
132	Harry Potter and the Prisoner of Azkaban	24,99,75,996	2004
133	Moana	24,87,57,044	2016
134	Indiana Jones and the Raiders of the Lost Ark	24,81,59,971	1981
135	Toy Story 2	24,58,52,179	1999
136	Transformers: Age of Extinction	24,54,39,076	2014
137	Cars	24,40,82,982	2006
138	Ghostbusters	24,35,78,797	1984
139	Bruce Almighty	24,28,29,261	2003
140	Twister	24,17,21,524	1996
141	My Big Fat Greek Wedding	24,14,38,208	2002
142	Maleficent	24,14,10,378	2014
143	Pirates of the Caribbean: On Stranger Tides	24,10,71,802	2011
144	Shrek Forever After	23,87,36,787	2010
145	Fast & Furious 6	23,86,79,850	2013
146	Brave	23,72,83,207	2012
147	Oz the Great and Powerful	23,49,11,825	2013
148	Beverly Hills Cop	23,47,60,478	1984
149	X-Men: The Last Stand	23,43,62,462	2006
150	War of the Worlds	23,42,80,354	2005
151	Fantastic Beasts and Where to Find Them	23,40,37,575	2016
152	X-Men: Days of Future Past	23,39,21,534	2014
153	Cast Away	23,36,32,142	2000
154	The Exorcist	23,29,06,145	1973
155	Doctor Strange	23,26,41,920	2016
156	The Lost World: Jurassic Park	22,90,86,679	1997
157	Justice League	22,90,24,295	2017
158	Star Trek Into Darkness	22,87,78,661	2013
159	The Martian	22,84,33,663	2015
160	Signs	22,79,66,634	2002
161	Hancock	22,79,46,274	2008
162	The Bourne Ultimatum	22,74,71,070	2007
163	Logan	22,62,77,068	2017
164	Rush Hour 2	22,61,64,286	2001
165	The Fate of the Furious	22,60,08,385	2017
166	Shang-Chi and the Legend of the Ten Rings	22,45,43,292	2021
167	WALL·E	22,38,08,164	2008
168	Toy Story	22,32,25,679	1995
169	Big Hero 6	22,25,27,828	2014
170	Mission: Impossible - Fallout	22,01,59,104	2018
171	National Treasure: Book of Secrets	21,99,64,115	2007
172	Alvin and the Chipmunks: The Squeakquel	21,96,14,612	2009
173	Mrs. Doubtfire	21,91,95,243	1993
174	Beauty and the Beast	21,89,67,620	1991
175	Ted	21,88,15,487	2012
176	King Kong	21,80,80,025	2005
177	Ghost	21,76,31,306	1990
178	How to Train Your Dragon	21,75,81,231	2010
179	The Da Vinci Code	21,75,36,138	2006
180	Aladdin	21,73,50,219	1992
181	Alvin and the Chipmunks	21,73,26,974	2007
182	Saving Private Ryan	21,70,49,603	1998
183	Bohemian Rhapsody	21,66,68,042	2018
184	Ant-Man and the Wasp	21,66,48,740	2018
185	Madagascar 3: Europe's Most Wanted	21,63,91,482	2012
186	Kung Fu Panda	21,54,34,591	2008
187	Mission: Impossible II	21,54,09,889	2000
188	A Star Is Born	21,52,88,866	2018
189	X2: X-Men United	21,49,49,694	2003
190	The Lorax	21,40,30,500	2012
191	Solo: A Star Wars Story	21,37,67,512	2018
192	Venom: Let There Be Carnage	21,35,50,366	2021
193	Venom	21,35,15,506	2018
194	Austin Powers in Goldmember	21,33,07,889	2002
195	It Chapter Two	21,15,93,228	2019
196	Back to the Future	21,14,06,762	1985
197	300	21,06,14,939	2007
198	Coco	21,04,60,015	2017
199	Fast Five	20,98,37,675	2011
200	Mission: Impossible - Ghost Protocol	20,93,97,903	2011
