Franchise	Total	Releases	#1 Release	Lifetime Gross
Sing	41,87,87,180	3	Sing	27,03,95,425
Back to the Future	41,86,84,347	7	Back to the Future	21,06,09,762
Alice in Wonderland	41,12,32,491	2	Alice in Wonderland	33,41,91,110
Bad Boys	41,07,20,712	3	Bad Boys for Life	20,63,05,244
Independence Day	40,93,13,554	2	Independence Day	30,61,69,268
American Pie	40,92,41,234	4	American Pie 2	14,51,03,595
Jaws	40,88,04,375	6	Jaws	26,00,00,000
Paranormal Activity	40,13,48,020	6	Paranormal Activity	10,79,18,810
Ant-Man	39,68,50,903	2	Ant-Man and the Wasp	21,66,48,740
Sherlock Holmes	39,58,77,097	2	Sherlock Holmes	20,90,28,679
Fantastic Beasts	39,35,93,476	2	Fantastic Beasts and Where to Find Them	23,40,37,575
National Treasure	39,29,73,009	2	National Treasure: Book of Secrets	21,99,64,115
Wreck-It Ralph	39,05,14,600	2	Ralph Breaks the Internet	20,10,91,711
Robert Langdon	38,52,55,558	3	The Da Vinci Code	21,75,36,138
Friday the 13th	38,27,46,073	13	Freddy vs. Jason	8,26,22,655
Fifty Shades	38,11,56,240	3	Fifty Shades of Grey	16,61,67,230
Suicide Squad	38,09,17,479	2	Suicide Squad	32,51,00,054
Taken	37,41,11,700	3	Taken	14,50,00,989
Nightmare on Elm Street	37,04,95,086	9	Freddy vs. Jason	8,26,22,655
The Santa Clause	36,92,75,806	4	The Santa Clause	14,48,33,357
Jackass	35,62,66,735	4	Jackass 3D	11,72,29,692
Maleficent	35,53,39,983	2	Maleficent	24,14,10,378
Pitch Perfect Trilogy	35,41,94,853	3	Pitch Perfect 2	18,42,96,230
Spy Kids	34,88,65,600	4	Spy Kids	11,27,19,001
A Quiet Place	34,80,96,622	2	A Quiet Place	18,80,24,361
Divergent	34,73,11,018	3	Divergent	15,09,47,895
Unbreakable	34,43,51,172	3	Split	13,82,91,365
Fantastic Four	34,27,35,366	3	Fantastic Four	15,46,96,080
The Muppets	34,07,00,484	10	The Muppets	8,86,31,237
Rambo	33,89,17,404	5	Rambo: First Blood Part II	15,04,15,432
Minions	33,60,45,770	1	Minions	33,60,45,770
Aquaman	33,50,61,807	1	Aquaman	33,50,61,807
The Exorcist	33,18,27,592	7	The Exorcist	19,30,00,000
Scream	33,17,34,067	4	Scream	10,30,46,663
Jump Street	33,01,67,004	2	22 Jump Street	19,17,19,337
The Purge	32,96,77,280	5	The Purge: Election Year	7,92,13,375
300	31,71,94,990	2	300	21,06,14,939
Predator	31,55,09,654	6	Alien vs. Predator	8,02,82,231
Crocodile Dundee	30,97,45,398	3	Crocodile Dundee	17,48,03,506
John Wick	30,60,82,706	3	John Wick: Chapter 3 - Parabellum	17,10,15,687
The Conjuring	30,55,01,199	3	The Conjuring	13,74,00,141
My Big Fat Greek Wedding	30,11,27,813	2	My Big Fat Greek Wedding	24,14,38,208
G.I. Joe	30,09,88,883	3	G.I. Joe: The Rise of Cobra	15,02,01,498
Ted	30,02,91,872	2	Ted	21,88,15,487
Grown Ups	29,56,69,711	2	Grown Ups	16,20,01,186
Pokemon	29,31,34,648	6	Pokémon Detective Pikachu	14,41,05,346
The Pink Panther	28,26,27,700	10	The Pink Panther	8,22,26,474
Vacation	28,04,12,312	8	National Lampoon's Christmas Vacation	7,13,19,526
Rio	27,51,58,244	2	Rio	14,36,19,809
Mary Poppins	27,42,31,165	4	Mary Poppins Returns	17,19,58,438
Resident Evil	27,12,74,006	6	Resident Evil: Afterlife	6,01,28,566
The Smurfs	26,98,86,444	4	The Smurfs	14,26,14,158
Kingsman Franchise	26,55,84,518	3	Kingsman: The Secret Service	12,82,61,724
Mamma Mia!	26,48,04,599	3	Mamma Mia!	14,41,30,063
Final Destination	26,34,55,755	5	The Final Destination	6,64,77,700
Annabelle	26,05,18,605	3	Annabelle: Creation	10,20,92,201
Insidious	25,75,59,485	4	Insidious: Chapter 2	8,35,86,447
Daddy's Home	25,43,86,580	2	Daddy's Home	15,03,57,137
SpongeBob	25,32,22,810	3	The SpongeBob Movie: Sponge Out of Water	16,29,94,032
Underworld	25,27,66,892	5	Underworld: Awakening	6,23,21,039
The Godfather	24,95,62,398	6	The Godfather	13,36,98,921
The Croods	24,57,37,240	2	The Croods	18,71,68,425
Cloudy with a Chance of Meatballs	24,46,63,842	2	Cloudy with a Chance of Meatballs	12,48,70,275
Maze Runner	24,21,57,497	3	The Maze Runner	10,24,27,862
Scooby-Doo	23,96,99,422	3	Scooby-Doo	15,32,94,164
Dumb and Dumber	23,96,59,849	3	Dumb and Dumber	12,71,75,374
Police Academy	23,96,43,235	7	Police Academy	8,11,98,894
The Ring	23,31,52,400	3	The Ring	12,91,28,133
Doctor Strange	23,26,41,920	1	Doctor Strange	23,26,41,920
Barbershop	23,12,74,783	4	Barbershop	7,57,82,105
Fallen	23,04,80,336	3	Olympus Has Fallen	9,89,25,640
Dirty Harry	22,75,25,988	5	Sudden Impact	6,76,42,693
The Expendables	22,74,19,260	3	The Expendables	10,30,68,524
Ride Along	22,61,60,030	2	Ride Along	13,49,38,200
Big Momma	22,56,40,824	3	Big Momma's House	11,75,59,438
Creed	22,54,83,470	2	Creed II	11,57,15,889
Mad Max	22,27,06,466	5	Mad Max: Fury Road	15,36,36,354
Paul Blart	21,73,74,368	2	Paul Blart: Mall Cop	14,63,36,178
The Naked Gun	21,68,19,186	3	The Naked Gun 2½: The Smell of Fear	8,69,30,411
Rugrats	21,64,05,003	3	The Rugrats Movie	10,04,94,675
Step Up	21,57,25,188	5	Step Up	6,53,28,121
xXx Trilogy	21,38,81,727	3	xXx	14,21,09,382
Winnie the Pooh	21,26,64,277	5	Christopher Robin	9,92,15,042
Neighbors	20,56,13,165	2	Neighbors	15,01,57,400
Tron	20,50,62,763	2	TRON: Legacy	17,20,62,763
Blade	20,48,47,943	3	Blade II	8,23,48,319
Snow White and the Huntsman	20,37,22,571	2	Snow White and the Huntsman	15,53,32,381
Equalizer	20,36,15,100	2	The Equalizer 2	10,20,84,362
World War Z	20,28,07,711	2	World War Z	20,23,59,711
Herbie the Love Bug	20,25,16,816	7	Herbie Fully Loaded	6,60,23,816
Texas Chainsaw Massacre	19,92,67,695	8	The Texas Chainsaw Massacre	8,05,71,655
Smokey and the Bandit	19,85,49,004	3	Smokey and the Bandit	12,67,37,428
Look Who's Talking	19,82,18,150	3	Look Who's Talking	14,00,88,813
Blair Witch	18,77,53,254	3	The Blair Witch Project	14,05,39,099
Legally Blonde	18,67,07,002	2	Legally Blonde	9,65,20,674
Diary of a Wimpy Kid	18,64,49,546	4	Diary of a Wimpy Kid	6,40,03,625
Bad Moms	18,53,67,956	2	Bad Moms	11,32,57,297
Now You See Me	18,27,99,529	2	Now You See Me	11,77,23,989
Top Gun	18,02,58,178	3	Top Gun	17,67,81,728
Poltergeist	17,96,78,666	5	Poltergeist	7,66,06,280
Amityville	17,05,34,063	5	The Amityville Horror	8,64,32,000
Robocop	16,84,09,071	4	RoboCop	5,86,07,007
Porky's	16,55,67,844	4	Porky's	10,54,92,483
The Omen	16,25,20,100	4	The Omen	6,09,22,980
Pacific Rim	16,16,77,431	2	Pacific Rim	10,18,02,906
Space Jam	16,10,10,570	2	Space Jam	9,04,18,342
Alex Cross	16,04,94,459	3	Along Came a Spider	7,40,78,174
Hellboy	15,75,14,209	3	Hellboy II: The Golden Army	7,59,86,503
Think Like a Man	15,67,29,387	2	Think Like a Man	9,15,47,205
Peter Rabbit	15,57,55,141	2	Peter Rabbit	11,52,53,424
Child's Play	15,53,99,337	6	Child's Play	3,32,44,684
Trolls	15,37,07,064	1	Trolls	15,37,07,064
Cloverfield	15,21,31,431	2	Cloverfield	8,00,48,433
Planes	14,94,54,499	2	Planes	9,02,88,712
Angry Birds	14,91,76,482	2	The Angry Birds Movie	10,75,09,366
Zombieland	14,87,13,368	2	Zombieland	7,55,90,286
Red	14,36,42,722	2	RED	9,03,80,162
Arthur	14,31,78,271	3	Arthur	9,54,61,682
Shazam!	14,03,71,656	1	Shazam!	14,03,71,656
Riddick	13,90,26,806	3	The Chronicles of Riddick	5,77,61,012
Jack Reacher	13,87,67,812	2	Jack Reacher	8,00,70,736
Bridget Jones's Trilogy	13,60,22,062	3	Bridget Jones's Diary	7,15,43,427
Power Rangers	13,19,15,780	3	Power Rangers	8,53,64,450
Agatha Christie	12,92,99,063	2	Murder on the Orient Express	10,28,26,543
Coming to America	12,81,52,301	1	Coming to America	12,81,52,301
Goosebumps	12,67,81,012	2	Goosebumps	8,00,80,379
Blade Runner	12,49,23,102	4	Blade Runner 2049	9,20,54,159
The Mighty Ducks	11,93,17,844	3	The Mighty Ducks	5,07,52,337
Friday	11,80,49,776	3	Next Friday	5,73,28,603
Dragon Tattoo	11,73,57,131	2	The Girl with the Dragon Tattoo	10,25,15,793
Paddington Bear	11,71,63,423	2	Paddington	7,62,71,832
Transporter	11,61,37,035	4	Transporter 2	4,30,95,856
Dolphin Tale	11,43,11,312	2	Dolphin Tale	7,22,86,779
The Hitman's Bodyguard	11,34,83,310	2	The Hitman's Bodyguard	7,54,68,583
Free Willy	11,12,22,275	3	Free Willy	7,76,98,625
View Askewniverse	10,67,70,558	7	Dogma	3,06,52,890
Best Man	10,46,27,975	2	The Best Man Holiday	7,05,25,195
Witch Mountain	10,35,65,594	3	Race to Witch Mountain	6,71,72,594
Psycho	10,26,92,261	4	Psycho II	3,47,25,000
